Symbol,Name,Last,Change,%Chg,IV Rank,Options Vol,% Put,% Call,Put/Call Vol,Time
AGEN,Agenus Inc,4.26,0.05,+1.19%,7.13%,4244,3.5%,96.5%,0.0361328125,05/28/21
TPR,Tapestry Inc,44.89,-0.2,-0.44%,0.00%,4228,64.0%,36.0%,1.7797501643655,05/28/21
VEDL,Vedanta Ltd,14.83,-0.06,-0.40%,4.85%,4200,0.0%,100.0%,0.000476417341591,05/28/21
AKAM,Akamai Technologies,114.21,-0.48,-0.42%,0.00%,4161,83.6%,16.4%,5.0922401171303,05/28/21
ILMN,Illumina Inc,405.64,-3.35,-0.82%,1.22%,4155,78.9%,21.1%,3.7377423033067,05/28/21
NTAP,Netapp Inc,77.37,-1.61,-2.04%,45.35%,4138,27.1%,72.9%,0.37247097844113,05/28/21
RNG,Ringcentral Inc,262.47,4.08,+1.58%,0.00%,4133,7.5%,92.5%,0.081654017272965,05/28/21
YETI,Yeti Holdings Inc,87.6,-0.2,-0.23%,0.00%,4130,59.6%,40.4%,1.4760191846523,05/28/21
EA,Electronic Arts Inc,142.93,0,0.00%,1.66%,4093,36.0%,64.0%,0.56281023291333,05/28/21
MAR,Marriot Int Cl A,143.58,-2.26,-1.55%,0.98%,4071,37.3%,62.7%,0.59521943573668,05/28/21
BTBT,Bit Digital Inc,8.45,-0.98,-10.39%,0.74%,4031,9.5%,90.5%,0.10498903508772,05/28/21
UNP,Union Pacific Corp,224.73,0.82999999999998,+0.37%,0.63%,4031,55.2%,44.8%,1.2307692307692,05/28/21
LPX,Louisiana-Pacific Corp,67.21,-0.84,-1.23%,5.13%,4006,55.3%,44.7%,1.2392397987703,05/28/21
OLLI,Ollies Bargain CS,86.44,6.05,+7.53%,0.00%,3984,22.3%,77.7%,0.28723747980614,05/28/21
STZ,Constellation Brands Inc,239.72,2.73,+1.15%,14.44%,3958,16.7%,83.3%,0.20048528965726,05/28/21
KIRK,Kirkland's Inc,25.71,-1.74,-6.34%,2.29%,3955,39.0%,61.0%,0.64039817503111,05/28/21
CPRI,Capri Holdings Ltd,56.71,0.3,+0.53%,0.00%,3942,19.1%,80.9%,0.23651191969887,05/28/21
SHAK,Shake Shack Inc,93.98,-1.69,-1.77%,5.51%,3910,36.5%,63.5%,0.57470801449859,05/28/21
WORK,Slack Technologies Inc,44.04,1.19,+2.78%,14.71%,3844,56.2%,43.8%,1.2840166369578,05/28/21
SSYS,Stratasys Ltd,23.09,-0.62,-2.61%,21.82%,3843,14.7%,85.3%,0.17271895025938,05/28/21
MBIO,Mustang Bio Inc,3.35,0,0.00%,11.88%,3813,8.4%,91.6%,0.091611795018609,05/28/21
EOG,Eog Resources,80.34,0.010000000000005,+0.01%,1.64%,3810,27.8%,72.2%,0.38495092693566,05/28/21
