Symbol,Name,Last,Change,%Chg,IV Rank,Options Vol,% Put,% Call,Put/Call Vol,Time
ICLN,Global Clean Energy Ishares ETF,22.92,0.11,+0.48%,0.00%,9018,64.7%,35.3%,1.8296203326012,05/28/21
XLB,S&P 500 Materials Sector SPDR,87.26,-0.089999999999989,-0.10%,15.03%,8741,52.1%,47.9%,1.0886499402628,05/28/21
UNG,US Natural Gas Fund,10.52,0.11,+1.06%,9.79%,8687,38.4%,61.6%,0.62434554973822,05/28/21
ARKG,Ark Genomic Revolution ETF,81.75,0.42,+0.52%,4.89%,8630,57.0%,43.0%,1.3274002157497,05/28/21
UUP,DB US Dollar Index Bullish Fund Invesco,24.22,0.02,+0.08%,8.80%,8253,52.1%,47.9%,1.0861981799798,05/28/21
SPXU,Ultrapro Short S&P 500 Proshares,19.59,-0.1,-0.51%,0.00%,7691,11.5%,88.5%,0.12986631408844,05/28/21
SILJ,Purefunds ISE Junior Silver ETF,17.65,0.13,+0.74%,7.34%,7481,12.5%,87.5%,0.14231180332875,05/28/21
SVXY,VIX Short-Term Fut Short Proshares,51.85,-0.52,-0.99%,25.68%,7456,32.7%,67.3%,0.48644338118022,05/28/21
OIH,Oil Services Vaneck ETF,212.88,-1.23,-0.57%,3.12%,7096,47.5%,52.5%,0.90547798066595,05/28/21
XRT,S&P Retail SPDR,93.36,-1.19,-1.26%,4.60%,7008,61.8%,38.2%,1.6207928197457,05/28/21
TZA,Smallcap Bear 3X Direxion,30.7,0.029999999999998,+0.10%,0.00%,6764,19.8%,80.2%,0.24613117170228,05/28/21
NUGT,Gold Miners Bull 2X Direxion,78.77,0.78,+1.00%,0.13%,6535,41.5%,58.5%,0.70894351464435,05/28/21
TAN,Solar Invesco ETF,79.11,-0.20999999999999,-0.26%,4.19%,6168,23.2%,76.8%,0.30126582278481,05/28/21
SDS,Ultrashort S&P 500 Proshares,9.5,-0.039999999999999,-0.42%,0.00%,5802,16.5%,83.5%,0.19752321981424,05/28/21
SPXS,S&P 500 Bear 3X Direxion,25.87,-0.16,-0.61%,0.00%,5373,46.8%,53.2%,0.87867132867133,05/28/21
MSOS,Advisorshares Pure US Cannabis ETF,41.54,-0.009999999999998,-0.02%,2.51%,5299,5.0%,95.0%,0.052223987291501,05/28/21
UPRO,Ultrapro S&P 500 Proshares,106.38,0.61999999999999,+0.59%,0.00%,4505,31.2%,68.8%,0.45322580645161,05/28/21
RSX,Russia Vaneck ETF,28.13,0.13,+0.46%,0.00%,4423,12.4%,87.6%,0.14171399070728,05/28/21
BRZU,Brazil Bull 3X Direxion,121.45,4.47,+3.82%,0.00%,4184,89.8%,10.2%,8.8447058823529,05/28/21
LIT,Global X Lithium & Battery Tech ETF,66.44,1.69,+2.61%,6.71%,3960,34.4%,65.6%,0.52366294728742,05/28/21
KWEB,KS Trust KS CSI China Internet ETF,70.4,0.25,+0.36%,2.77%,3817,10.9%,89.1%,0.12264705882353,05/28/21
ARKF,Ark Fintech Innovation ETF,49.83,-0.14,-0.28%,0.57%,3722,23.6%,76.4%,0.30918044319381,05/28/21
AMLP,Alps Alerian MLP ETF,34.34,-0.2,-0.58%,4.49%,3638,71.3%,28.7%,2.4846743295019,05/28/21
ECH,Chile Ishares MSCI ETF,29.41,1.07,+3.78%,27.67%,3632,60.5%,39.5%,1.5310104529617,05/28/21
SOXS,Semiconductor Bear 3X Direxion,8.41,-0.2,-2.32%,1.84%,3629,13.2%,86.8%,0.15169787369089,05/28/21
ERX,Energy Bull 2X Direxion,26.37,0.09,+0.34%,0.18%,3076,29.4%,70.6%,0.41555453290382,05/28/21
XLP,S&P 500 Cons Staples Sector SPDR,70.81,0.15000000000001,+0.21%,10.40%,2944,28.3%,71.7%,0.39526066350711,05/28/21
FEZ,Euro Stoxx 50 ETF SPDR,48.61,0.26,+0.54%,11.71%,2405,4.5%,95.5%,0.047017849368742,05/28/21
JNUG,Junior Gold Mine Bull 2X Direxion,113.1,2.25,+2.03%,0.00%,2395,55.0%,45.0%,1.2237697307335,05/28/21
LABD,S&P Biotech Bear 3X Direxion,23.58,0.27,+1.16%,1.36%,2338,44.7%,55.3%,0.80959752321981,05/28/21
SPXL,S&P 500 Bull 3X Direxion,100.05,0.59999999999999,+0.60%,0.00%,2326,46.2%,53.8%,0.85782747603834,05/28/21
XHB,S&P Homebuilders SPDR,74.97,-0.14,-0.19%,12.36%,2303,62.8%,37.2%,1.6904205607477,05/28/21
EMB,USD Emrg Mkts Bond Ishares JPM ETF,111.86,0.23,+0.21%,2.61%,2229,56.2%,43.8%,1.2814738996929,05/28/21
IVOL,Quadratic Interest Rate Vol and Infl ETF,28.62,-0.009999999999998,-0.03%,2.82%,2081,1.6%,98.4%,0.01611328125,05/28/21
IYR,US Real Estate Ishares ETF,100.19,0.69,+0.69%,1.67%,2052,46.4%,53.6%,0.86545454545455,05/28/21
UCO,Ultra DJ-UBS Crude Oil Proshares,65.66,-0.34,-0.52%,4.91%,1954,22.4%,77.6%,0.28806855636124,05/28/21
DUST,Gold Miners Bear 2X Direxion,14.55,-0.19,-1.29%,0.30%,1812,45.8%,54.2%,0.84521384928717,05/28/21
CPER,US Copper,28.85,0.11,+0.38%,3.33%,1790,20.9%,79.1%,0.26501766784452,05/28/21
EDC,Emrg Mkts Bull 3X Direxion,105.57,2.22,+2.15%,0.00%,1788,1.6%,98.4%,0.016486640136441,05/28/21
SH,S&P 500 Short Proshares,15.77,-0.030000000000001,-0.19%,4.27%,1746,0.5%,99.5%,0.004602991944764,05/28/21
URTY,Ultrapro Russell 2000 Proshares,111.09,-0.2,-0.18%,0.00%,1698,94.9%,5.1%,18.744186046512,05/28/21
AGQ,Ultra Silver Proshares,53.33,0.33,+0.62%,13.26%,1681,14.5%,85.5%,0.16898470097357,05/28/21
BLOK,Transformational Data Sharing Amplify ETF,45.82,-0.94,-2.01%,36.41%,1590,53.5%,46.5%,1.1486486486486,05/28/21
SSO,Ultra S&P 500 Proshares,114.39,0.47,+0.41%,0.00%,1543,22.9%,77.1%,0.29663865546218,05/28/21
IWN,Russell 2000 Value Ishares ETF,167.53,-0.16999999999999,-0.10%,0.13%,1488,89.7%,10.3%,8.7254901960784,05/28/21
URA,Global X Uranium ETF,21.88,-0.12,-0.55%,21.66%,1472,19.8%,80.2%,0.24745762711864,05/28/21
FAZ,Financial Bear 3X Direxion,24.85,-0.079999999999998,-0.32%,1.09%,1457,20.0%,80.0%,0.24957118353345,05/28/21
UGA,US Gasoline,34.34,-0.23,-0.67%,1.56%,1417,1.6%,98.4%,0.016499282639885,05/28/21
JO,Ipatha.B Coffee Subindex TR ETN,46.16,1.72,+3.87%,61.09%,1411,4.4%,95.6%,0.045959970348406,05/28/21
ITB,US Home Construction Ishares ETF,71.92,-0.079999999999998,-0.11%,4.15%,1410,55.5%,44.5%,1.2488038277512,05/28/21
FXE,Euro Trust Currencyshares,114.05,-0.10000000000001,-0.09%,13.14%,1400,75.1%,24.9%,3.0229885057471,05/28/21
JDST,Junior Gold Mine Bear 3X Direxion,7.8,-0.15,-1.89%,0.23%,1382,24.2%,75.8%,0.31870229007634,05/28/21
